DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2000-08,71.6,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2000-09,72.0,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2000-10,72.1,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2000-11,75.4,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2000-12,75.7,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2001-01,73.4,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2001-02,74.4,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2001-03,73.8,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2001-04,72.2,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2001-05,72.5,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2001-06,72.8,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2001-07,73.1,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2001-08,73.3,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2001-09,72.1,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2001-10,73.7,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2001-11,70.8,
ESTAT:STS_INPR_M(1.0),29/03/23 11:00:00,M,PROD,C,SCA,I15,AT,2001-12,71.3,
